Rating,Title,Original_Review,Language,Translated_Review,Cleaned_Review
5,Wonderful,"Overall a great buy from samsung. Used to top load machines but this front load performs better than top load with less noise and some additional features. Better for 3-4 person family. 8kg machine can easily fit 10-15 clothes at a time. Card offers are good as its available all time.

Pros:
Noise free compared to other machines.
Better wash and added features with hygiene steam.

Cons:
Inlet valve might have been bit long.
Rat mesh quality could have been better.
Wifi enabled features are not upto mark.",en,"Overall a great buy from samsung. Used to top load machines but this front load performs better than top load with less noise and some additional features. Better for 3-4 person family. 8kg machine can easily fit 10-15 clothes at a time. Card offers are good as its available all time.

Pros:
Noise free compared to other machines.
Better wash and added features with hygiene steam.

Cons:
Inlet valve might have been bit long.
Rat mesh quality could have been better.
Wifi enabled features are not upto mark.",overall great buy samsung used top load machine front load performs better top load less noise additional feature better 34 person family 8kg machine easily fit 1015 clothes time card offer good available time pro noise free compared machine better wash added feature hygiene steam con inlet valve might bit long rat mesh quality could better wifi enabled feature upto mark
5,Classy product,Best,de,Best,best
5,Excellent,"Superb design so silent work
Cloths Washing quality is good
Over all amazing washing machine",en,"Superb design so silent work
Cloths Washing quality is good
Over all amazing washing machine",superb design silent work cloth washing quality good amazing washing machine
5,Worth every penny,Overall good,it,Overall good,overall good
5,Perfect product!,"Less noise and less water consumption
I",en,"Less noise and less water consumption
I",less noise less water consumption
5,Worth every penny,"Excellent product. Saving lots of time, money and energy. It's fun now to wash the clothes with this latest technology. It gives relaxation and peace of mind. Thanks to Samsung technology.",en,"Excellent product. Saving lots of time, money and energy. It's fun now to wash the clothes with this latest technology. It gives relaxation and peace of mind. Thanks to Samsung technology.",excellent product saving lot time money energy fun wash clothes latest technology give relaxation peace mind thanks samsung technology
4,Wonderful,"I'm writing this after 4 month of usage it's a wonderful machine.

Pros-
Cleans any type of dirty clothes
Low electricity consumption
Easy to operate (ladies will get hang of it once they get demo)
Value for money product
Can operate from mobile

Cons-
It produces some noise (not a deal breaker though)
It's recommended to use liquid which is costly
Water wastage

Overall - Just go for it.",en,"I'm writing this after 4 month of usage it's a wonderful machine.

Pros-
Cleans any type of dirty clothes
Low electricity consumption
Easy to operate (ladies will get hang of it once they get demo)
Value for money product
Can operate from mobile

Cons-
It produces some noise (not a deal breaker though)
It's recommended to use liquid which is costly
Water wastage

Overall - Just go for it.",im writing 4 month usage wonderful machine pro clean type dirty clothes low electricity consumption easy operate lady get hang get demo value money product operate mobile con produce noise deal breaker though recommended use liquid costly water wastage overall go
4,Pretty good,Bottom cover is made of plastic which can be bend easily.,en,Bottom cover is made of plastic which can be bend easily.,bottom cover made plastic bend easily
4,Value-for-money,"Product good, delivery good,demo seduled31st may,dome done on30 may.he explain everything is good.i appreciate him and provided company.",en,"Product good, delivery good,demo seduled31st may,dome done on30 may.he explain everything is good.i appreciate him and provided company.",product good delivery gooddemo seduled31st maydome done on30 mayhe explain everything goodi appreciate provided company
4,Worth the money,Nice,ro,Nice,nice
4,Worth the money,Good product,en,Good product,good product
4,Worth the money,"While delivering the item, the product was damaged.

Otherwise it was such a nice product.",en,"While delivering the item, the product was damaged.

Otherwise it was such a nice product.",delivering item product damaged otherwise nice product
4,Good choice,"Product was Good,, But Delivery and installation was worst",en,"Product was Good,, But Delivery and installation was worst",product good delivery installation worst
4,Good quality product,Touch expensive but good mone,en,Touch expensive but good mone,touch expensive good mone
4,Wonderful,Thanks flipkart for safely delivering the product. The machine is awesome...,en,Thanks flipkart for safely delivering the product. The machine is awesome...,thanks flipkart safely delivering product machine awesome
4,Very Good,"**Overall Impression:** I am extremely satisfied with my purchase of the Samsung 8 kg washing machine. It combines generous capacity, energy efficiency, and a variety of wash cycles, all wrapped up in a sleek and user-friendly design. If you're in the market for a reliable and efficient washing machine, this model is definitely worth considering.",en,"**Overall Impression:** I am extremely satisfied with my purchase of the Samsung 8 kg washing machine. It combines generous capacity, energy efficiency, and a variety of wash cycles, all wrapped up in a sleek and user-friendly design. If you're in the market for a reliable and efficient washing machine, this model is definitely worth considering.",overall impression extremely satisfied purchase samsung 8 kg washing machine combine generous capacity energy efficiency variety wash cycle wrapped sleek userfriendly design youre market reliable efficient washing machine model definitely worth considering
4,Wonderful,Nice washing machine by samsung.....,en,Nice washing machine by samsung.....,nice washing machine samsung
4,Wonderful,Very Good Product.. Sofar Happy with the performance and nice washing quality,en,Very Good Product.. Sofar Happy with the performance and nice washing quality,good product sofar happy performance nice washing quality
5,Fabulous!,"My mother's age is nearing 60 now.
Seeing her get tired from washing clothes at this age makes my heart ache.

I had been planning to buy a washing machine for my mother for a long time, but due to voltage issues in our area, I could not buy one earlier.

Now that the voltage problem has been resolved, I have finally purchased this as a gift for my mother; to ease her burden.

I chose this one because it's a future-proof machine; Wi-Fi enabled and fully controllable through the Samsung SmartThings app.",en,"My mother's age is nearing 60 now.
Seeing her get tired from washing clothes at this age makes my heart ache.

I had been planning to buy a washing machine for my mother for a long time, but due to voltage issues in our area, I could not buy one earlier.

Now that the voltage problem has been resolved, I have finally purchased this as a gift for my mother; to ease her burden.

I chose this one because it's a future-proof machine; Wi-Fi enabled and fully controllable through the Samsung SmartThings app.",mother age nearing 60 seeing get tired washing clothes age make heart ache planning buy washing machine mother long time due voltage issue area could buy one earlier voltage problem resolved finally purchased gift mother ease burden chose one futureproof machine wifi enabled fully controllable samsung smartthings app
5,Great product,"Flipkart therdparty service very poor, But Today morning I call Samsung customer support and there customer support team very helpful and few hours ago visit Samsung technician and he solved issue and how to use this machine and showed his entire demo. Thank you Samsung customer support team.",en,"Flipkart therdparty service very poor, But Today morning I call Samsung customer support and there customer support team very helpful and few hours ago visit Samsung technician and he solved issue and how to use this machine and showed his entire demo. Thank you Samsung customer support team.",flipkart therdparty service poor today morning call samsung customer support customer support team helpful hour ago visit samsung technician solved issue use machine showed entire demo thank samsung customer support team
5,Hated it!,No one cones to insulation how can I use,en,No one cones to insulation how can I use,one cone insulation use
5,Excellent,"Samsung washing machine is very great degein, front looking is beautiful and good washing.",en,"Samsung washing machine is very great degein, front looking is beautiful and good washing.",samsung washing machine great degein front looking beautiful good washing
5,Perfect product!,Nice washing machine with price,en,Nice washing machine with price,nice washing machine price
5,Highly recommended,"It is one of the best washing machine I ever use since 20 years, very good quality and function",en,"It is one of the best washing machine I ever use since 20 years, very good quality and function",one best washing machine ever use since 20 year good quality function
5,Terrific purchase,Only Thing i will say is just buy it. It is the best. Smart technology is really helpful.,en,Only Thing i will say is just buy it. It is the best. Smart technology is really helpful.,thing say buy best smart technology really helpful
5,Awesome,very good washing machine good working very easy to use ￼,en,very good washing machine good working very easy to use ￼,good washing machine good working easy use
5,Terrific,Value for money,ca,Value for money,value money
5,Classy product,Best performance it will take little extra time but it's okay 👍,en,Best performance it will take little extra time but it's okay 👍,best performance take little extra time okay
5,Highly recommended,"Great product from samsung and installation is good
Flipkart always provides great offers",en,"Great product from samsung and installation is good
Flipkart always provides great offers",great product samsung installation good flipkart always provides great offer
5,Classy product,As expected....very less noise and cleans deeply. Looks like a expensive one. Happy with samsung.,en,As expected....very less noise and cleans deeply. Looks like a expensive one. Happy with samsung.,expectedvery less noise clean deeply look like expensive one happy samsung
5,Highly recommended,The product is nice and upto the expectations.,en,The product is nice and upto the expectations.,product nice upto expectation
5,Brilliant,"I washed the king size winter blanket unless it takes very less water, and cleaned awsome. Machine takes very less amount of water for sure. If anyone have water problem please go for it. This machine is full cherry on top ❤lovely.",en,"I washed the king size winter blanket unless it takes very less water, and cleaned awsome. Machine takes very less amount of water for sure. If anyone have water problem please go for it. This machine is full cherry on top ❤lovely.",washed king size winter blanket unless take less water cleaned awsome machine take less amount water sure anyone water problem please go machine full cherry top lovely
5,Excellent,"The product was good, best offer I got, workings fine",en,"The product was good, best offer I got, workings fine",product good best offer got working fine
5,Just wow!,Writing review after use more than a month. Excellent wash quality in one wash.,en,Writing review after use more than a month. Excellent wash quality in one wash.,writing review use month excellent wash quality one wash
5,Highly recommended,Product experience excellent but delivery experience is horrible.,fr,Product experience excellent but delivery experience is horrible.,product experience excellent delivery experience horrible
5,Super!,Very good and it's my second time purchase,en,Very good and it's my second time purchase,good second time purchase
5,Perfect product!,Superb performance,ro,Superb performance,superb performance
5,Terrific purchase,Best Washing Machine,de,Best Washing Machine,best washing machine
5,Brilliant,After using g a month I am writing this review. The product is worth for its value. Till now it is working fine and we face no issue with it. Using it for daily and all types of clothes.,en,After using g a month I am writing this review. The product is worth for its value. Till now it is working fine and we face no issue with it. Using it for daily and all types of clothes.,using g month writing review product worth value till working fine face issue using daily type clothes
5,Great product,Working fine till now. It's been 4 months,en,Working fine till now. It's been 4 months,working fine till 4 month
5,Terrific purchase,Performance is excellent 👌,en,Performance is excellent 👌,performance excellent
5,Perfect product!,Very nice product at this price range,en,Very nice product at this price range,nice product price range
5,Simply awesome,Superb,id,Superb,superb
5,Worth every penny,Excellent Product Quality,en,Excellent Product Quality,excellent product quality
5,Must buy!,Great product,ro,Great product,great product
5,Perfect product!,Full satisfied,it,Full satisfied,full satisfied
5,Best in the market!,Nice product 👌 Good Design,en,Nice product 👌 Good Design,nice product good design
5,Mind-blowing purchase,Nice pic,ro,Nice pic,nice pic
5,Mind-blowing purchase,Awesome product,en,Awesome product,awesome product
5,Great product,Great product👌 Always Samsung 💕,en,Great product👌 Always Samsung 💕,great product always samsung
5,Wonderful,Used this for 15 days Washing quality is good its intial stage will update it after 3 months,en,Used this for 15 days Washing quality is good its intial stage will update it after 3 months,used 15 day washing quality good intial stage update 3 month
5,Highly recommended,"Excellent product, no noise, no vibration while cleaning and small vibration at spinning (that's Normal for washing machine)",en,"Excellent product, no noise, no vibration while cleaning and small vibration at spinning (that's Normal for washing machine)",excellent product noise vibration cleaning small vibration spinning thats normal washing machine
5,Terrific,Worthy product.,en,Worthy product.,worthy product
5,Excellent,Best price,ro,Best price,best price
5,Highly recommended,Great pr,en,Great pr,great pr
5,Terrific purchase,Awesome pro,af,Awesome pro,awesome pro
5,Brilliant,Machine working is very good. I am totally satisfied by this product. Washing quality of clothes are also good. There is no need of pre hand washing to clothes. Ai tecnology works. It's totally full of value for money.,en,Machine working is very good. I am totally satisfied by this product. Washing quality of clothes are also good. There is no need of pre hand washing to clothes. Ai tecnology works. It's totally full of value for money.,machine working good totally satisfied product washing quality clothes also good need pre hand washing clothes ai tecnology work totally full value money
5,Awesome,"Super Product

🚚 person is good and hard worker",en,"Super Product

🚚 person is good and hard worker",super product person good hard worker
5,Terrific,"Writing this review after almost 15 days of use. Buy stand first and foremost requirment.
U can bargain with service engineer. Very less sound while washing. Little bit of sound while spinning at 1400 rpm, which is ok and all washing machine does make that sound.
Performance is quite good. Weight is good, so it does not wobble too much, for which i was worried initially. But all good and everyone can buy it. Features are good and it also removes stains from collar, which i had not expected. There is also a 15 minute wash cycle, prolonged cycles r also there. Drum clean, drum dry all is there. So 9 out of 10 from my side.",en,"Writing this review after almost 15 days of use. Buy stand first and foremost requirment.
U can bargain with service engineer. Very less sound while washing. Little bit of sound while spinning at 1400 rpm, which is ok and all washing machine does make that sound.
Performance is quite good. Weight is good, so it does not wobble too much, for which i was worried initially. But all good and everyone can buy it. Features are good and it also removes stains from collar, which i had not expected. There is also a 15 minute wash cycle, prolonged cycles r also there. Drum clean, drum dry all is there. So 9 out of 10 from my side.",writing review almost 15 day use buy stand first foremost requirment u bargain service engineer less sound washing little bit sound spinning 1400 rpm ok washing machine make sound performance quite good weight good wobble much worried initially good everyone buy feature good also remove stain collar expected also 15 minute wash cycle prolonged cycle r also drum clean drum dry 9 10 side
5,Highly recommended,"Good performance, I like child lock option and totally its good product worth for money, thank you",en,"Good performance, I like child lock option and totally its good product worth for money, thank you",good performance like child lock option totally good product worth money thank
5,Highly recommended,Good machine,so,Good machine,good machine
5,Terrific,Very excellent product and silent operation any all very good feature with pre loded program,en,Very excellent product and silent operation any all very good feature with pre loded program,excellent product silent operation good feature pre loded program
5,Worth every penny,"Writing this after 15 day use... Nice priduct, minimum sound, good service, better quality then LG।। Because I already use LG",en,"Writing this after 15 day use... Nice priduct, minimum sound, good service, better quality then LG।। Because I already use LG",writing 15 day use nice priduct minimum sound good service better quality lg already use lg
5,Terrific,"Machine is excellent, no noise as such...",fr,"Machine is excellent, no noise as such...",machine excellent noise
5,Worth every penny,"My review after 20 days, excellent and very good product from Samsung and more laundries with time also AI control can operate easily with mobile. No noise very cool and good looking.",en,"My review after 20 days, excellent and very good product from Samsung and more laundries with time also AI control can operate easily with mobile. No noise very cool and good looking.",review 20 day excellent good product samsung laundry time also ai control operate easily mobile noise cool good looking
5,Fabulous!,Got this washing machine for 25k during BBD.. excellent machine. This machine is very silent and have many handful features that can be totally controlled via app on the phone.. cleanes really well.. excellent product by Samsung. Value for money totally,en,Got this washing machine for 25k during BBD.. excellent machine. This machine is very silent and have many handful features that can be totally controlled via app on the phone.. cleanes really well.. excellent product by Samsung. Value for money totally,got washing machine 25k bbd excellent machine machine silent many handful feature totally controlled via app phone cleanes really well excellent product samsung value money totally
5,Terrific,Product was good . Performance is very satisfying. Scilent in operation. We will get notification through mobile when washing is completed . The only thing i feel is .. it is a wifi enabled device but On and Off and start the washing cycle is working at machine only . There is nothing much use with wifi . Overall product is good .,en,Product was good . Performance is very satisfying. Scilent in operation. We will get notification through mobile when washing is completed . The only thing i feel is .. it is a wifi enabled device but On and Off and start the washing cycle is working at machine only . There is nothing much use with wifi . Overall product is good .,product good performance satisfying scilent operation get notification mobile washing completed thing feel wifi enabled device start washing cycle working machine nothing much use wifi overall product good
5,Wonderful,Perfect for 5 members,en,Perfect for 5 members,perfect 5 member
5,Brilliant,"Good , Value for money",en,"Good , Value for money",good value money
5,Super!,excellent value for money,ca,excellent value for money,excellent value money
5,Super!,Product is very good service is very low,en,Product is very good service is very low,product good service low
5,Classy product,I Am Happy Thanks Flipkart,en,I Am Happy Thanks Flipkart,happy thanks flipkart
5,Brilliant,Product is awesome.....Go for it,en,Product is awesome.....Go for it,product awesomego
5,Simply awesome,"Super product
Value for money
Easy to use
Thanks Flipkart Delivery Next day.but Installation and demo to take 5 days (Technician communication very very bad)",en,"Super product
Value for money
Easy to use
Thanks Flipkart Delivery Next day.but Installation and demo to take 5 days (Technician communication very very bad)",super product value money easy use thanks flipkart delivery next daybut installation demo take 5 day technician communication bad
5,Simply awesome,"Excellent purchase ...
Till now running smoothly and creating less noise...
I will give my final verdict after one month of use so stay tuned...",en,"Excellent purchase ...
Till now running smoothly and creating less noise...
I will give my final verdict after one month of use so stay tuned...",excellent purchase till running smoothly creating less noise give final verdict one month use stay tuned
5,Fabulous!,Thanks Flipkart...❤,sv,Thanks Flipkart...❤,thanks flipkart
5,Must buy!,Best washing machine... noiseless sturdy..but inlet pipe is very short...,en,Best washing machine... noiseless sturdy..but inlet pipe is very short...,best washing machine noiseless sturdybut inlet pipe short
5,Perfect product!,"Perfect companion for my home, does the job!",en,"Perfect companion for my home, does the job!",perfect companion home job
1,Don't waste your money,Product is making loud rattling noise,en,Product is making loud rattling noise,product making loud rattling noise
1,Very poor,"Genuine review:

Samsung 8.0 kg , the quality of drum is very poor. very light. Not so strong . When knock on the drum, the sound itself speaks of low quality. I had 7.5 kg MARQ front load washing machine. Very robust, drum strong, good build quality. Outer front body got rust with time. It ran 5 years. 2 times per day. 365 days for 5 years.

The door nut and bolt and its fixation with the machine body is of poor quality. If by mistake if you open the door with jolt/ by force, to its maximum opening, the door will unpluck and will come out in your hand. Feels like this.

If by mistake, you are walking and collides with the already open gate at opposite, the door will get unpluck easily and fall on floor. Very cheap quality material.

Buttons available are also not so smooth.

The door lock knob is also very cheap.

Overall, The materials used is of low/cheap quality to compensate with 20 years motor warranty. Adding new features+warranty+low in price/budget= balancing with cheap drum and materials.

Handle with care.
Will review after installation of product and washing the clothes .

One suggestion: Which ever product you want to buy on flipkart, first go in shop and check its drum quality and buttons etc. and decide and purchase.
I guess but not sure, the company makes two types of product 1. for shops. good quality and 2. for online sale. average quality.May be also online product is of low quality with low rate. Shop price is high, may be product quality is good.
I have purchased, so i will not return now.

By look the product looks very attractive. For first time user, they will love the product. Those who have already used other washing machine of good quality, and then purchase these products, they dont like it .

However, online provides middle classes people to buy at budgetary level.",en,"Genuine review:

Samsung 8.0 kg , the quality of drum is very poor. very light. Not so strong . When knock on the drum, the sound itself speaks of low quality. I had 7.5 kg MARQ front load washing machine. Very robust, drum strong, good build quality. Outer front body got rust with time. It ran 5 years. 2 times per day. 365 days for 5 years.

The door nut and bolt and its fixation with the machine body is of poor quality. If by mistake if you open the door with jolt/ by force, to its maximum opening, the door will unpluck and will come out in your hand. Feels like this.

If by mistake, you are walking and collides with the already open gate at opposite, the door will get unpluck easily and fall on floor. Very cheap quality material.

Buttons available are also not so smooth.

The door lock knob is also very cheap.

Overall, The materials used is of low/cheap quality to compensate with 20 years motor warranty. Adding new features+warranty+low in price/budget= balancing with cheap drum and materials.

Handle with care.
Will review after installation of product and washing the clothes .

One suggestion: Which ever product you want to buy on flipkart, first go in shop and check its drum quality and buttons etc. and decide and purchase.
I guess but not sure, the company makes two types of product 1. for shops. good quality and 2. for online sale. average quality.May be also online product is of low quality with low rate. Shop price is high, may be product quality is good.
I have purchased, so i will not return now.

By look the product looks very attractive. For first time user, they will love the product. Those who have already used other washing machine of good quality, and then purchase these products, they dont like it .

However, online provides middle classes people to buy at budgetary level.",genuine review samsung 80 kg quality drum poor light strong knock drum sound speaks low quality 75 kg marq front load washing machine robust drum strong good build quality outer front body got rust time ran 5 year 2 time per day 365 day 5 year door nut bolt fixation machine body poor quality mistake open door jolt force maximum opening door unpluck come hand feel like mistake walking collides already open gate opposite door get unpluck easily fall floor cheap quality material button available also smooth door lock knob also cheap overall material used lowcheap quality compensate 20 year motor warranty adding new featureswarrantylow pricebudget balancing cheap drum material handle care review installation product washing clothes one suggestion ever product want buy flipkart first go shop check drum quality button etc decide purchase guess sure company make two type product 1 shop good quality 2 online sale average qualitymay also online product low quality low rate shop price high may product quality good purchased return look product look attractive first time user love product already used washing machine good quality purchase product dont like however online provides middle class people buy budgetary level
3,Nice,Waste water intake problem,af,Waste water intake problem,waste water intake problem
3,Does the job,"All about buy it for wifi oprations that can operate remotely from anywhere, but it's not like that needs physical operation.Disappointment for that.",en,"All about buy it for wifi oprations that can operate remotely from anywhere, but it's not like that needs physical operation.Disappointment for that.",buy wifi oprations operate remotely anywhere like need physical operationdisappointment
3,Working Fine,"After using this washing machine for few days, I found out that AI part is mostly gimmick. I am using basic feature to wash my clothes",en,"After using this washing machine for few days, I found out that AI part is mostly gimmick. I am using basic feature to wash my clothes",using washing machine day found ai part mostly gimmick using basic feature wash clothes
3,Fair,The display flicker frequently and sometimes got blank after one-month of use.didnt expect from samsung.similar issue found on other customers,en,The display flicker frequently and sometimes got blank after one-month of use.didnt expect from samsung.similar issue found on other customers,display flicker frequently sometimes got blank onemonth usedidnt expect samsungsimilar issue found customer
3,Just okay,Make to much noise,en,Make to much noise,make much noise
3,Decent product,Product design and performance is impressive. The worst thing is happened during the installation. The installation person does not even aware about the machine. The guy told my family that the machine do jog facilitate with warm water and hygiene steam 😄,en,Product design and performance is impressive. The worst thing is happened during the installation. The installation person does not even aware about the machine. The guy told my family that the machine do jog facilitate with warm water and hygiene steam 😄,product design performance impressive worst thing happened installation installation person even aware machine guy told family machine jog facilitate warm water hygiene steam
3,Just okay,The machine was vibrating when dry mode is on,en,The machine was vibrating when dry mode is on,machine vibrating dry mode
3,Fair,It's not up to the mark,en,It's not up to the mark,mark
3,Good,"Good but whenever power or water get interrupted, washing cycle starts again from starting. Colour cloths getting dull.",en,"Good but whenever power or water get interrupted, washing cycle starts again from starting. Colour cloths getting dull.",good whenever power water get interrupted washing cycle start starting colour cloth getting dull
3,Good,Washing time sounds not good,en,Washing time sounds not good,washing time sound good
3,Fair,Noise is heavy compared to IFB...,en,Noise is heavy compared to IFB...,noise heavy compared ifb
3,Just okay,mAchiNe was Good but Samsung service and installation worst...realy bad experience with samsung customercare ...till date no one visit for InstallaTIon after a LoNg time waiT myself inStallEd And Use..kindly report this Bad experience With samsubG CompaNy..i hated,en,mAchiNe was Good but Samsung service and installation worst...realy bad experience with samsung customercare ...till date no one visit for InstallaTIon after a LoNg time waiT myself inStallEd And Use..kindly report this Bad experience With samsubG CompaNy..i hated,machine good samsung service installation worstrealy bad experience samsung customercare till date one visit installation long time wait installed usekindly report bad experience samsubg companyi hated
4,Delightful,Great product but No usecase of AI even control from app can be better.,en,Great product but No usecase of AI even control from app can be better.,great product usecase ai even control app better
4,Good quality product,Fastest delivery by Flipkart little bit delay on installation demo. Product is good design is awesome.,en,Fastest delivery by Flipkart little bit delay on installation demo. Product is good design is awesome.,fastest delivery flipkart little bit delay installation demo product good design awesome
4,Very Good,"Overall the Machine is very good for small families, with multiple wash modes. The Inlet pipe provided by Samsung is small hence if the washing machine is placed far from the water source, it is advisable to buy extra length. The Wash Quality is good and I have tried normal and winter clothes.",en,"Overall the Machine is very good for small families, with multiple wash modes. The Inlet pipe provided by Samsung is small hence if the washing machine is placed far from the water source, it is advisable to buy extra length. The Wash Quality is good and I have tried normal and winter clothes.",overall machine good small family multiple wash mode inlet pipe provided samsung small hence washing machine placed far water source advisable buy extra length wash quality good tried normal winter clothes
4,Pretty good,In this machine everything is okay apart from this the program is in built which is given Sometimes it needs to be customised like 60 degree Celsius and 20 minutes so this type of customisation one option or mode is not available but from that everything is okay.,en,In this machine everything is okay apart from this the program is in built which is given Sometimes it needs to be customised like 60 degree Celsius and 20 minutes so this type of customisation one option or mode is not available but from that everything is okay.,machine everything okay apart program built given sometimes need customised like 60 degree celsius 20 minute type customisation one option mode available everything okay
5,Fabulous!,"The product is very good.
The delivery was fast.
The installation was also fast. But the technician is not that
knowledgeable. Overall thanks to flipkart and the team.",en,"The product is very good.
The delivery was fast.
The installation was also fast. But the technician is not that
knowledgeable. Overall thanks to flipkart and the team.",product good delivery fast installation also fast technician knowledgeable overall thanks flipkart team
5,Mind-blowing purchase,"Bought 8kg fully automatic load for 28k in sale. I'm loving my new 8kg fully automatic washing machine! It's so convenient and easy to use. Just add clothes, detergent, and select the cycle - done! It saves me time and effort. Cleaning is thorough, and it's quiet too. Highly recommend!",en,"Bought 8kg fully automatic load for 28k in sale. I'm loving my new 8kg fully automatic washing machine! It's so convenient and easy to use. Just add clothes, detergent, and select the cycle - done! It saves me time and effort. Cleaning is thorough, and it's quiet too. Highly recommend!",bought 8kg fully automatic load 28k sale im loving new 8kg fully automatic washing machine convenient easy use add clothes detergent select cycle done save time effort cleaning thorough quiet highly recommend
5,Classy product,"Never thought I would buy a washing machine online. I was having so many questions before purchase.
Big thanks to Flipkart for smooth purchase and installation.
Reviewing after a month of use. This product is more than perfect with almost zero noise. Made for heavy wash. This washing machine has unique features like hygiene wash. This is the best in the market. It's costly but value for the price.
cleaning is superb. Never doubt samsung.
Thankyou Flipkart 🙃",en,"Never thought I would buy a washing machine online. I was having so many questions before purchase.
Big thanks to Flipkart for smooth purchase and installation.
Reviewing after a month of use. This product is more than perfect with almost zero noise. Made for heavy wash. This washing machine has unique features like hygiene wash. This is the best in the market. It's costly but value for the price.
cleaning is superb. Never doubt samsung.
Thankyou Flipkart 🙃",never thought would buy washing machine online many question purchase big thanks flipkart smooth purchase installation reviewing month use product perfect almost zero noise made heavy wash washing machine unique feature like hygiene wash best market costly value price cleaning superb never doubt samsung thankyou flipkart
5,Excellent,Good Looking.... Excellent Setup .... Expected More from it But still satisfied 👍✅,en,Good Looking.... Excellent Setup .... Expected More from it But still satisfied 👍✅,good looking excellent setup expected still satisfied
5,Terrific,"Delightful experience...
As i shifted to fully automatic from semi automatic...it is a great experience using samsung washing
No such voice
Smooth work
80% dry
Awesome connectivity
Hassle free use
Clean clothes
And what not
Totally worth buying product...
Thanku samsung",en,"Delightful experience...
As i shifted to fully automatic from semi automatic...it is a great experience using samsung washing
No such voice
Smooth work
80% dry
Awesome connectivity
Hassle free use
Clean clothes
And what not
Totally worth buying product...
Thanku samsung",delightful experience shifted fully automatic semi automaticit great experience using samsung washing voice smooth work 80 dry awesome connectivity hassle free use clean clothes totally worth buying product thanku samsung
5,Terrific,"Samsung build quality is too good
1400 rpm Rising is very fast with No vibration ,No Sound...it's amazing

Happy with this Washing machine.",en,"Samsung build quality is too good
1400 rpm Rising is very fast with No vibration ,No Sound...it's amazing

Happy with this Washing machine.",samsung build quality good 1400 rpm rising fast vibration soundits amazing happy washing machine
5,Terrific purchase,"Machine should be wifi enabled, design should be more attractive,",en,"Machine should be wifi enabled, design should be more attractive,",machine wifi enabled design attractive
3,Fair,Heavy vibration,en,Heavy vibration,heavy vibration
5,Brilliant,Nice design and good performance. I've been using the IFB machine for the last 20+ years. Need to check if Samsung can deliver similar durability. Only installation got delayed by a day. Other than that I had a good experience.,en,Nice design and good performance. I've been using the IFB machine for the last 20+ years. Need to check if Samsung can deliver similar durability. Only installation got delayed by a day. Other than that I had a good experience.,nice design good performance ive using ifb machine last 20 year need check samsung deliver similar durability installation got delayed day good experience
5,Brilliant,"Like this Samsung 8 kg washing machine I think it is the best washing machine under 32000.......
watch quality is very good but it require a booster pump in my hose condition.।।।।।।
So do not consider this washing machine if you low water pressure problem.।।।।।।
Other than that than this washing machine is very good you can definitely check ☑ this out.।।।।।।",en,"Like this Samsung 8 kg washing machine I think it is the best washing machine under 32000.......
watch quality is very good but it require a booster pump in my hose condition.।।।।।।
So do not consider this washing machine if you low water pressure problem.।।।।।।
Other than that than this washing machine is very good you can definitely check ☑ this out.।।।।।।",like samsung 8 kg washing machine think best washing machine 32000 watch quality good require booster pump hose condition consider washing machine low water pressure problem washing machine good definitely check
2,Bad quality,Smart thing app is not working properly.not able to pause and start.,en,Smart thing app is not working properly.not able to pause and start.,smart thing app working properlynot able pause start
5,Best in the market!,Very good product working Very silently,en,Very good product working Very silently,good product working silently
1,Absolute rubbish!,Very poor quality of the plug,en,Very poor quality of the plug,poor quality plug
1,Worst experience ever!,Very bad experience of indtal,en,Very bad experience of indtal,bad experience indtal
5,Terrific purchase,Keepup good job,hr,Keepup good job,keepup good job
5,Best in the market!,Ok ok,sl,Ok ok,ok ok
5,Must buy!,Sup,id,Sup,sup
4,Wonderful,The best order in my experience to all orders please go for it,en,The best order in my experience to all orders please go for it,best order experience order please go
5,Fabulous!,"Parfect product, parfect service, Thanks flipkart, I vary happy",en,"Parfect product, parfect service, Thanks flipkart, I vary happy",parfect product parfect service thanks flipkart vary happy
5,Fabulous!,love the performance of machine,en,love the performance of machine,love performance machine
5,Excellent,Excellent,ca,Excellent,excellent
5,Great product,Good product with good performance,en,Good product with good performance,good product good performance
5,Highly recommended,Nice work,pl,Nice work,nice work
2,Good,"Vibration wise, the design still needs to be improved. Vibration adversely affects the durability of the",en,"Vibration wise, the design still needs to be improved. Vibration adversely affects the durability of the",vibration wise design still need improved vibration adversely affect durability
5,Terrific purchase,Good build quality,en,Good build quality,good build quality
5,Wonderful,Very good wash quality and zero noise washing machine,en,Very good wash quality and zero noise washing machine,good wash quality zero noise washing machine
5,Wonderful,Very nice washing machine but delivery and installation time was too much longer,en,Very nice washing machine but delivery and installation time was too much longer,nice washing machine delivery installation time much longer
